"Keyword","Vol (US)","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Pages"
"musician search","4400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","6"
"local musicians","1600","1,600","1,600","1,300","1,300","1,600","1,000","1,600","1,300","1,300","1,300","2,900","1,300","5"
"musicians wanted","880","1,000","1,000","880","880","880","880","1,000","880","880","880","1,000","1,000","3"
"musicians near me","720","480","480","590","480","480","390","390","2,900","1,600","480","390","590","5"
"find musicians near me","590","480","590","590","590","480","480","720","720","480","590","480","480","7"
"local musicians near me","480","390","390","390","480","720","390","590","590","480","390","720","480","6"
"band finder","480","480","590","480","480","390","480","390","390","390","480","480","390","4"
"find a band","480","480","480","390","480","590","390","720","390","390","390","390","320","3"
"bandfinder","480","480","480","390","480","390","390","390","480","480","390","390","480","3"
"band member search","390","390","390","480","390","590","590","480","390","390","390","390","390","4"
"find band members","390","390","390","480","390","590","590","480","390","390","390","390","390","3"
"join a band","390","390","480","480","480","480","320","390","320","390","480","480","390","3"
"musician finder","320","390","320","390","320","260","320","480","390","390","320","320","320","4"
"musician needed near me","320","390","390","320","390","320","320","320","320","320","260","260","320","3"
"find local musicians","260","170","170","140","110","880","590","140","170","170","170","170","140","5"
"classifieds for musicians","260","320","260","260","260","260","260","260","260","320","210","260","210","3"
"find local musicians to jam with","90","110","110","90","90","110","110","90","90","110","90","90","70","4"
"musician classifieds","10","10","10","10","0","10","10","10","0","10","10","10","10","3"